ID,prediksi,probabilitas,cluster,cluster_label,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,no,0.78%,0,Prospek Baru,58,management,married,tertiary,no,2143,yes,no,unknown,5,may,261,1,-1,0,unknown,no
2,no,0.32%,0,Prospek Baru,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,-1,0,unknown,no
3,no,0.03%,0,Prospek Baru,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
4,no,0.04%,0,Prospek Baru,47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,may,92,1,-1,0,unknown,no
5,no,0.62%,0,Prospek Baru,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
6,no,0.25%,0,Prospek Baru,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,-1,0,unknown,no
7,no,0.58%,0,Prospek Baru,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
8,no,1.20%,0,Prospek Baru,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
9,no,0.04%,0,Prospek Baru,58,retired,married,primary,no,121,yes,no,unknown,5,may,50,1,-1,0,unknown,no
10,no,0.08%,0,Prospek Baru,43,technician,single,secondary,no,593,yes,no,unknown,5,may,55,1,-1,0,unknown,no
11,no,0.56%,0,Prospek Baru,41,admin.,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,-1,0,unknown,no
12,no,0.33%,0,Prospek Baru,29,admin.,single,secondary,no,390,yes,no,unknown,5,may,137,1,-1,0,unknown,no
13,no,10.62%,0,Prospek Baru,53,technician,married,secondary,no,6,yes,no,unknown,5,may,517,1,-1,0,unknown,no
14,no,0.04%,0,Prospek Baru,58,technician,married,unknown,no,71,yes,no,unknown,5,may,71,1,-1,0,unknown,no
15,no,0.26%,0,Prospek Baru,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,unknown,no
16,no,1.05%,0,Prospek Baru,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,-1,0,unknown,no
17,no,0.08%,0,Prospek Baru,45,admin.,single,unknown,no,13,yes,no,unknown,5,may,98,1,-1,0,unknown,no
18,no,0.03%,0,Prospek Baru,57,blue-collar,married,primary,no,52,yes,no,unknown,5,may,38,1,-1,0,unknown,no
19,no,0.51%,0,Prospek Baru,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,-1,0,unknown,no
20,no,0.05%,0,Prospek Baru,33,services,married,secondary,no,0,yes,no,unknown,5,may,54,1,-1,0,unknown,no
21,no,0.36%,0,Prospek Baru,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
22,no,0.35%,0,Prospek Baru,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,-1,0,unknown,no
23,no,0.10%,0,Prospek Baru,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
24,no,1.04%,0,Prospek Baru,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,-1,0,unknown,no
25,no,0.11%,0,Prospek Baru,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
26,no,0.31%,0,Prospek Baru,44,admin.,married,secondary,no,-372,yes,no,unknown,5,may,172,1,-1,0,unknown,no
27,no,1.38%,0,Prospek Baru,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,-1,0,unknown,no
28,no,0.06%,0,Prospek Baru,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
29,no,0.58%,0,Prospek Baru,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,-1,0,unknown,no
30,no,0.77%,0,Prospek Baru,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,-1,0,unknown,no
31,no,0.50%,0,Prospek Baru,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,unknown,no
32,no,0.73%,0,Prospek Baru,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,-1,0,unknown,no
33,no,0.29%,0,Prospek Baru,60,admin.,married,secondary,no,39,yes,yes,unknown,5,may,208,1,-1,0,unknown,no
34,no,0.50%,0,Prospek Baru,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no
35,no,1.25%,0,Prospek Baru,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
36,no,0.55%,0,Prospek Baru,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,-1,0,unknown,no
37,no,1.72%,0,Prospek Baru,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,-1,0,unknown,no
38,no,48.56%,0,Prospek Baru,53,technician,married,secondary,no,-3,no,no,unknown,5,may,1666,1,-1,0,unknown,no
